Precip(m3)	SWE(m3)	BCSurf(m3)	BCGW(m3)	Canopy(m3)	Surface(m3)	Channel(m3)	SoilW(m3)	SoilL1(m3)	SoilL2(m3)	SoilL3(m3)	RZW(m3)	GW(m3)	ET(m3)	EvapS(m3)	EvapC(m3)	EvapI(m3)	EvapT(m3)	Leakage(m3)	SrfOut(m3)	GWOut(m3)	SrftoCh	GWtoCh	Rchrge	SatExt	MBErr	2H_MBE
0	0	2118.12	0	0	0	1348.96	1.824e+06	60006.4	240026	1.20013e+06	259343	323838	369.63	369.63	44.1481	0	0	0	728.804	3.57736	0	3.78963	64473.4	0	3.31433e-13	0.0516193
0	0	4231.87	0	0	0	1712.8	1.82359e+06	59603.6	240026	1.20013e+06	258940	323831	772.469	772.469	101.52	0	6.51783e-10	0	2425.2	7.2134	0	7.65181	64473.4	0	2.92852e-13	0.110847
6360.64	5.25838e-14	6363.27	0	985.44	0	1808.71	1.82879e+06	60006.4	240026	1.20013e+06	259343	328627	940.205	939.813	133.284	0	0.391806	0	4432.98	10.9584	0	11.706	69278	0	3.42193e-13	0.426755
14161.3	6.88468e-14	8520.73	0	1697.21	0	1851.66	1.83577e+06	60006.4	240026	1.20013e+06	259343	335615	1033.45	1033.06	149.098	0	0.391806	0	6536	14.8365	0	16.02	76273.7	0	3.27743e-13	0.802704
14161.3	0	10702.4	0	1697.21	0	1864.72	1.83562e+06	59859.9	240026	1.20013e+06	259197	335607	1179.93	1179.54	170.476	0	0.391806	0	8687.64	18.7737	0	20.4143	76273.7	0	3.14766e-13	0.826606
14161.3	1.78092e-17	12927.1	0	1691.4	0	1892.53	1.83554e+06	59789.5	240025	1.20013e+06	259126	335598	1256.58	1255.1	183.845	0	1.4871	0	10875.6	22.7694	2.7739e-05	24.8896	76273.7	0	2.38934e-13	0.83202
14161.3	0	15217.2	0	1691.4	0	1919.92	1.83542e+06	59673.6	240025	1.20013e+06	259010	335589	1372.47	1370.99	202.434	0	1.4871	0	13124.3	26.8232	2.7739e-05	29.4465	76273.7	0	2.51199e-13	0.868101
15028.7	9.99499e-16	17858.4	0	1793.92	0	2081.99	1.83617e+06	60006.4	240026	1.20013e+06	259343	336007	1377.45	1370.99	202.434	4.27732	2.18191	0	15608	30.9389	2.7739e-05	34.0976	76700.3	0	3.25942e-13	0.90496
23124	0	19900.2	0	2506.39	0	1884.48	1.84354e+06	60006.4	240026	1.20013e+06	259343	343381	1377.45	1370.99	202.434	4.27732	2.18191	0	17852.3	35.1901	2.7739e-05	39.0389	84083.2	0	2.99236e-13	1.34256
28617.3	0	22041.9	0	3003.07	0	1875.45	1.84852e+06	60006.4	240026	1.20013e+06	259343	348364	1381.1	1370.99	202.434	4.27732	5.83429	0	20008.2	39.5518	2.7739e-05	44.2114	89076.2	0	3.47687e-13	1.68214
28617.3	4.31633e-17	24159.5	0	2989.79	0	1829.1	1.84829e+06	59784.2	240025	1.20013e+06	259121	348355	1616.72	1606.3	240.561	4.27732	6.14811	0	22139.3	43.9716	9.11366e-05	49.4749	89076.2	0	2.48068e-13	1.72906
28617.3	1.61763e-16	26715.3	0	2978.8	0	1956.92	1.84789e+06	59394.5	240025	1.20013e+06	258731	348345	2017.37	2006.94	312.288	4.27732	6.14811	0	24501	48.4489	0.000143624	54.83	89076.2	0	2.35344e-13	1.769
28617.3	0	28986.9	0	2978.8	0	1929.94	1.84778e+06	59294.8	240025	1.20013e+06	258631	348335	2117.95	2105.24	329.949	4.27732	8.43166	0	26787.3	52.9832	0.000143624	60.2773	89076.2	0	2.59803e-13	1.76049
28617.3	7.26126e-19	31077.3	0	2820.89	0	1808.5	1.84747e+06	59000.4	240017	1.20013e+06	258330	348325	2578.47	2385.85	387.475	161.958	30.6622	0	28947.1	57.5739	0.00342734	65.8176	89076.2	0	1.85368e-13	1.75413
28617.3	0	32964.5	0	2605.34	0	1650.28	1.84685e+06	58435.5	239976	1.20013e+06	257731	348313	3400.54	2880.98	489.924	377.508	142.052	0	30895.8	62.2205	0.00342734	71.4514	89076.2	0	1.85182e-13	1.76668
28617.3	0	34628.6	0	2605.34	0	1587.2	1.84663e+06	58229.3	239973	1.20013e+06	257522	348303	3609.89	3082.07	521.586	377.508	150.31	0	32597	66.9225	0.00342734	77.1794	89076.2	0	1.85019e-13	1.75747
